cell_name,cell_idx,drug_name,drug_idx,IC50
SW1463,561,IOX2,190,1.658589
KY821,345,FH535,141,3.622999
NCI-H1781,507,Foretinib,145,2.059152
SW1463,561,I-CBP112,183,6.330999
COR-L23,312,Taselisib,348,0.888251
HCC1937,591,Rucaparib,310,5.324658
SNU-398,842,Amuvatinib,22,3.720504
SK-MEL-1,778,Lapatinib,209,3.105922
PANC-08-13,805,Podophyllotoxin bromide,291,3.853916
MKN28,105,AZD1332,40,6.233228
COR-L23,312,OF-1,254,5.674101
CA46,614,MK-2206,233,1.963401
Calu-3,622,Belinostat,62,1.670599
IM-95,386,QS11,301,2.462492
PANC-08-13,805,PLX-4720,290,7.057374
MONO-MAC-6,708,AICA Ribonucleotide,15,5.861727
TGBC11TKB,96,Osimertinib,259,1.469555
EW-11,60,Ispinesib Mesylate,194,-1.88024
LOUCY,172,Parthenolide,268,1.223131
BICR31,5,MK-8776,234,4.09402
5637,544,AZD5991,51,5.820345
GR-ST,876,Seliciclib,325,5.729557
D-502MG,63,PRT062607,295,3.426724
SISO,213,Linifanib,218,1.94972
Hey,664,Romidepsin,308,-5.818691
SHP-77,752,Bicalutamide,68,4.512103
NCI-H2110,464,BI-2536,65,-2.490717
IGR-37,742,NVP-ADW742,250,2.093022
NCI-H748,786,TPCA-1,362,3.411254
SNB75,18,Crizotinib,105,2.790887
NMC-G1,364,Niraparib,244,7.162835
HEL,381,IC-87114,185,4.90851
COLO-668,47,GSK591,171,4.524922
NCI-H508,524,Tamoxifen,346,4.600326
RXF393,12,Wee1 Inhibitor,388,1.051894
TUR,859,FMK,144,5.322022
PC-3,14,LGK974,216,3.905374
SW1417,547,AKT inhibitor VIII,16,3.5976
SIG-M5,215,Fedratinib,140,-1.041652
HARA,383,ZM447439,410,1.382273
RERF-LC-KJ,186,Refametinib,304,2.834975
NCI-H1568,504,XMD11-85h,399,3.744189
SK-MEL-30,211,GSK1070916,160,1.009213
HCT-15,531,OSU-03012,260,-0.748733
GB-1,370,NPK76-II-72-1,245,1.828671
U-118-MG,853,Linsitinib,219,6.398591
OCI-AML3,268,Bryostatin 1,79,-3.167425
LS-411N,427,BEN,63,4.214195
AsPC-1,610,Fludarabine,143,9.103519
EN,729,GNE-317,155,0.863089
FLO-1,725,Camptothecin,85,-1.655132
LU-65,339,Salubrinal,315,4.19602
KYSE-410,713,Camptothecin,85,0.605862
A204,539,AZD4877,46,-4.213838
A375,536,I-CBP112,183,4.063771
TE-9,155,PF-562271,278,1.19147
SH-4,753,STF-62247,340,5.286162
SW1710,234,Methotrexate,225,2.753157
VA-ES-BJ,840,LGK974,216,4.789692
CTB-1,124,QL-X-138,298,-1.611861
RVH-421,218,Daporinad,118,0.128226
HCC70,440,Vinblastine,380,-2.480784
BONNA-12,673,Dasatinib,119,-3.000801
SK-OV-3,6,LMP744,221,2.229965
TE-10,179,LGK974,216,4.779834
TGW,154,Ribociclib,306,3.544693
SKG-IIIa,201,GSK591,171,3.610853
DAN-G,649,BMS-754807,74,1.006795
OMC-1,87,RO-3306,307,2.747325
SK-MEL-30,211,Elesclomol,128,-2.797788
TE-10,179,SU11274,341,3.54724
RVH-421,218,Methotrexate,225,3.130755
KYSE-70,709,QL-X-138,298,2.892953
EM-2,730,AT7867,32,0.964685
HT55,334,AZD2014,42,1.997271
A673,571,Sapitinib,316,4.892546
BV-173,659,Pictilisib,286,1.727503
WM278,668,Erlotinib,137,3.73004
MOLM-13,247,PIK-93,287,-1.029031
SK-N-FI,770,Mycophenolic acid,238,1.069929
PA-1,809,KIN001-270,204,2.623006
C3A,868,PIK-93,287,5.64793
AGS,573,AZ6102,36,0.933727
NCI-H446,661,UNC0638,372,1.342815
NCI-H2196,486,AZD7762,55,-0.525745
HCC70,440,I-BET-151,180,3.015487
769-P,542,Omipalisib,256,-3.077027
KYSE-140,717,NPK76-II-72-1,245,3.637271
no-10,363,BMS-345541,71,3.880463
JHH-6,397,OTX015,261,2.082896
JSC-1,453,Selisistat,326,5.013693
ML-2,249,PF-4708671,277,3.081706
BL-41,674,Sorafenib,337,1.751379
NCI-H835,802,ZM447439,410,4.657577
SNB75,18,Trametinib,363,1.388059
JSC-1,453,Serdemetan,329,2.255358
COLO-829,615,Sinularin,333,4.769244
NCI-H1581,502,AICA Ribonucleotide,15,7.797451
CAL-12T,639,Lenalidomide,213,5.023145
OV-7,276,(5Z)-7-Oxozeaenol,0,0.510546
TCCSUP,851,CHIR-99021,96,3.458671
DMS-53,317,Epirubicin,133,-0.283128
LP-1,170,NSC-87877,247,3.999684
SW1463,561,Idelalisib,187,1.075296
NCI-H2135,462,Crizotinib,105,6.956011
SU8686,849,alpha-lipoic acid,20,8.476441
A204,539,AZD1480,41,0.460422
451Lu,869,BIBR-1532,67,5.043974
HGC-27,130,AZ6102,36,1.496898
451Lu,869,AR-42,24,-0.282128
OCUB-M,88,Midostaurin,227,-0.168231
Calu-6,621,Etoposide,138,1.357261
LU-135,134,Nelarabine,241,6.053513
OSC-19,355,XAV939,398,3.493726
DMS-114,586,PRIMA-1MET,294,5.299032
SCC-15,757,Trametinib,363,-0.331508
JJN-3,720,Ipatasertib,192,4.444254
TE-9,155,Dihydrorotenone,120,0.152367
BHT-101,676,QL-X-138,298,2.762795
A704,572,Shikonin,332,1.303481
SKG-IIIa,201,Zibotentan,409,6.260495
